"@odata.etag";"id";"bcptCode";"lineNumber";"tag";"version";"entryNumber";"startTime";"endTime";"codeunitID";"codeunitName";"sessionId";"operation";"message";"durationMin";"numberOfSQLStmts";"status"
"W/""JzIwOzEzNTMxOTM1MzMxMDE3MDcwMTc1MTswMDsn""";"34d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"82";"07/07/2023 13.12.19";"07/07/2023 13.12.19";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"14";"12";"Success"
"W/""JzIwOzE1ODk3Mzg3MTczMTkwNzc3MzYyMTswMDsn""";"35d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"83";"07/07/2023 13.12.05";"07/07/2023 13.12.19";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"336";"231";"Success"
"W/""JzE5OzkxMDIzMTk3NDU0ODUzODk1MzUxOzAwOyc=""";"38d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"84";"07/07/2023 13.12.16";"07/07/2023 13.12.20";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4365";"5";"Success"
"W/""JzIwOzE3OTAyMDk1MjkzMjczNTAwMjIyMTswMDsn""";"39d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"85";"07/07/2023 13.12.21";"07/07/2023 13.12.21";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"7";"3";"Success"
"W/""JzE4OzQ4NjE4Njk2MTU5MTAwNTI2OTE7MDA7Jw==""";"3ad49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"86";"07/07/2023 13.12.21";"07/07/2023 13.12.21";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"8";"6";"Success"
"W/""JzIwOzEyMjU4MTMyMTcxMDI4NzAxMTg2MTswMDsn""";"3bd49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"87";"07/07/2023 13.12.04";"07/07/2023 13.12.22";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"338";"211";"Success"
"W/""JzIwOzE3Mjk4ODEyODU1MzgxNzUxMDM5MTswMDsn""";"40d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"88";"07/07/2023 13.12.24";"07/07/2023 13.12.24";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"15";"8";"Success"
"W/""JzE5OzI5NTY3ODExMjAzMjM1NzgzNTMxOzAwOyc=""";"41d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"89";"07/07/2023 13.12.25";"07/07/2023 13.12.25";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"17";"10";"Success"
"W/""JzE5OzY0OTUyMzk0NDE5MTIzNDM0OTAxOzAwOyc=""";"d495c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"90";"07/07/2023 13.12.27";"07/07/2023 13.12.27";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"7";"9";"Success"
"W/""JzIwOzEyMzM4NjI3Nzg1MzY5NzgwMjU5MTswMDsn""";"d595c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"91";"07/07/2023 13.12.27";"07/07/2023 13.12.27";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"7";"8";"Success"
"W/""JzIwOzEyNzk2MTMxODUyNjQ0NzI2MDM4MTswMDsn""";"e295c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"92";"07/07/2023 13.12.14";"07/07/2023 13.12.32";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"403";"282";"Success"
"W/""JzE5Ozk1NjM4Mzk0MzY5NDA2MTU3MTUxOzAwOyc=""";"e795c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"93";"07/07/2023 13.12.30";"07/07/2023 13.12.35";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4384";"5";"Success"
"W/""JzE5OzcxMTAyMTIxNDkzMzk3NTUyMzAxOzAwOyc=""";"e895c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"94";"07/07/2023 13.12.35";"07/07/2023 13.12.35";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
"W/""JzIwOzE1MDA5OTY4MzUzMzIwNTg2MDc0MTswMDsn""";"e995c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"95";"07/07/2023 13.12.36";"07/07/2023 13.12.36";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"16";"12";"Success"
"W/""JzE5OzM5MTgxODA5OTI1OTkxNTY4NzYxOzAwOyc=""";"ea95c9ea-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"96";"07/07/2023 13.12.24";"07/07/2023 13.12.36";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"402";"230";"Success"
"W/""JzIwOzE0Mjk2MTcxODM5OTQyMTA2NzQ3MTswMDsn""";"0cf8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"97";"07/07/2023 13.12.37";"07/07/2023 13.12.37";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"10";"9";"Success"
"W/""JzE5OzYyNDcwMzE0NTY1NjY0MjM1NTExOzAwOyc=""";"0ef8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"98";"07/07/2023 13.12.38";"07/07/2023 13.12.38";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"18";"11";"Success"
"W/""JzE5Ozc3MDkwMTI0MTMwMTUyOTg1NTIxOzAwOyc=""";"10f8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"99";"07/07/2023 13.12.39";"07/07/2023 13.12.39";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"8";"7";"Success"
"W/""JzE5OzMzNzk1NDA3NDE1MDI3MjAxMjIxOzAwOyc=""";"11f8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"100";"07/07/2023 13.12.39";"07/07/2023 13.12.39";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"12";"12";"Success"
"W/""JzE5OzQzNjI5MzAwNTMxMzAwNDY2ODExOzAwOyc=""";"16f8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"101";"07/07/2023 13.12.41";"07/07/2023 13.12.41";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"18";"8";"Success"
"W/""JzE5OzM4MzE1MjIzNDEyNjc0NTYyNDcxOzAwOyc=""";"18f8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"102";"07/07/2023 13.12.41";"07/07/2023 13.12.41";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"18";"12";"Success"
"W/""JzE5OzQwOTE4MjM1NTM2NjYwOTYyMTMxOzAwOyc=""";"1bf8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"103";"07/07/2023 13.12.42";"07/07/2023 13.12.42";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"6";"3";"Success"
"W/""JzIwOzE3MTQwNjE4ODI0MzI3NTgwMTQwMTswMDsn""";"1ef8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"104";"07/07/2023 13.12.43";"07/07/2023 13.12.43";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"7";"6";"Success"
"W/""JzE5OzU5MTYwMjk2ODg5NjU3OTQ5MTExOzAwOyc=""";"20f8cff0-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"105";"07/07/2023 13.12.27";"07/07/2023 13.12.44";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"288";"212";"Success"
"W/""JzIwOzE0MjI0MDE0MzM3Mzc5Mjg4Nzk2MTswMDsn""";"81991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"106";"07/07/2023 13.12.49";"07/07/2023 13.12.49";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"10";"9";"Success"
"W/""JzE5OzIxOTE5NTg0MzE2OTI4NDg0MDIxOzAwOyc=""";"83991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"107";"07/07/2023 13.12.45";"07/07/2023 13.12.49";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4400";"5";"Success"
"W/""JzIwOzE2MzE0MTE3NjAxOTgwNTk1MzgyMTswMDsn""";"84991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"108";"07/07/2023 13.12.50";"07/07/2023 13.12.50";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"10";"8";"Success"
"W/""JzE5OzQzNjk1MjY2NzIxNTY0OTA0NzAxOzAwOyc=""";"8c991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"109";"07/07/2023 13.12.52";"07/07/2023 13.12.52";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
"W/""JzE5OzMxODU0MDA0NDAxMTcwMDA2OTAxOzAwOyc=""";"8d991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"110";"07/07/2023 13.12.53";"07/07/2023 13.12.53";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"16";"12";"Success"
"W/""JzE5OzgwNDY5NjUwMzkzNjg5Nzc1MzQxOzAwOyc=""";"8e991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"111";"07/07/2023 13.12.41";"07/07/2023 13.12.53";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"378";"232";"Success"
"W/""JzIwOzE1MTg1ODU3MzE2MjQwNzQ0ODE1MTswMDsn""";"8f991af7-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"112";"07/07/2023 13.12.37";"07/07/2023 13.12.54";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"369";"282";"Success"
"W/""JzE5OzEyNDIyNTI5MDE1MjA1NTY0MjYxOzAwOyc=""";"005490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"113";"07/07/2023 13.12.58";"07/07/2023 13.12.58";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"14";"8";"Success"
"W/""JzIwOzE3OTQ1MjczMzQ0MTExMzY0OTA3MTswMDsn""";"015490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"114";"07/07/2023 13.12.58";"07/07/2023 13.12.58";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"21";"10";"Success"
"W/""JzIwOzE1NzI0MjM5NjEwNTU0MzQxNDg5MTswMDsn""";"055490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"115";"07/07/2023 13.12.59";"07/07/2023 13.12.59";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"11";"9";"Success"
"W/""JzE5OzMxMzY0NjExMTA3MTc5MzA3MDYxOzAwOyc=""";"075490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"116";"07/07/2023 13.13.00";"07/07/2023 13.13.00";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"15";"12";"Success"
"W/""JzE5Ozg5NDU4Mjk1MjMyNzg0MzU2MjUxOzAwOyc=""";"0b5490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"117";"07/07/2023 13.13.01";"07/07/2023 13.13.01";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"8";"7";"Success"
"W/""JzE5OzM0NjU0MTg5NDA4ODQzMDYxMjAxOzAwOyc=""";"0d5490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"118";"07/07/2023 13.13.01";"07/07/2023 13.13.01";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"11";"12";"Success"
"W/""JzE3OzkzMjk4MTkxNDcyMDE0MTUwMTswMDsn""";"135490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"119";"07/07/2023 13.12.59";"07/07/2023 13.13.03";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4386";"5";"Success"
"W/""JzE5OzQwMDY1OTMzMjE5MTkzNjMwNzgxOzAwOyc=""";"1c5490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"120";"07/07/2023 13.13.07";"07/07/2023 13.13.07";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"7";"3";"Success"
"W/""JzIwOzEyMDk5MzUyNjM2NTEwMTU4NzAxMTswMDsn""";"1e5490fd-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"121";"07/07/2023 13.13.08";"07/07/2023 13.13.08";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"8";"6";"Success"
"W/""JzIwOzEyNTcxNzExNzAzMTQzMTg3NDE0MTswMDsn""";"8dedba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"122";"07/07/2023 13.12.49";"07/07/2023 13.13.09";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"396";"211";"Success"
"W/""JzIwOzE0Nzg0OTI4NDk0NzUzMDUyOTc3MTswMDsn""";"8eedba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"123";"07/07/2023 13.13.09";"07/07/2023 13.13.09";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"6";"4";"Success"
"W/""JzIwOzE4MDkyMTA2NDUxNzM0MDg4NDc0MTswMDsn""";"90edba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"124";"07/07/2023 13.13.10";"07/07/2023 13.13.10";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"14";"12";"Success"
"W/""JzE5OzkyOTQ1MDc1NDcwMzM1NzYwODIxOzAwOyc=""";"91edba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"125";"07/07/2023 13.12.58";"07/07/2023 13.13.10";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"354";"230";"Success"
"W/""JzE5OzUyMTg2NTczMjQ5NDMwOTQyNTMxOzAwOyc=""";"95edba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"126";"07/07/2023 13.13.14";"07/07/2023 13.13.14";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"37";"9";"Success"
"W/""JzIwOzE1MDI3Mjc1ODY2MTUwMjQ2NTgwMTswMDsn""";"96edba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"127";"07/07/2023 13.13.14";"07/07/2023 13.13.14";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"7";"8";"Success"
"W/""JzE5Ozg1MDU2MTUwNzA1MDgzNTI0MDIxOzAwOyc=""";"9aedba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"128";"07/07/2023 13.13.15";"07/07/2023 13.13.15";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"11";"8";"Success"
"W/""JzIwOzE2MjEwNzE0NTc3NzU0MDE0MjQyMTswMDsn""";"9cedba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"129";"07/07/2023 13.13.15";"07/07/2023 13.13.15";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"20";"11";"Success"
"W/""JzE3OzY0NDYzNjUzOTM5MjUwNjg2MTswMDsn""";"a1edba03-c81c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"130";"07/07/2023 13.13.13";"07/07/2023 13.13.18";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4363";"5";"Success"
"W/""JzE5OzMyMzg1MDQ0Njc1NDk0ODI4MjQxOzAwOyc=""";"541dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"131";"07/07/2023 13.12.59";"07/07/2023 13.13.19";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"299";"282";"Success"
"W/""JzE4OzEyMTQzMTA3NDM0MzA4ODk2MDE7MDA7Jw==""";"5c1dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"132";"07/07/2023 13.13.24";"07/07/2023 13.13.24";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"9";"9";"Success"
"W/""JzIwOzE1ODM2ODA3NjA5Njk2MjEwMTI5MTswMDsn""";"5e1dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"133";"07/07/2023 13.13.24";"07/07/2023 13.13.24";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"13";"12";"Success"
"W/""JzE5Ozg5MDQwOTg5Mjg0ODg5Mzk2NDgxOzAwOyc=""";"621dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"134";"07/07/2023 13.13.25";"07/07/2023 13.13.25";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"8";"7";"Success"
"W/""JzIwOzExMDcxOTYzOTMzNTI1NTU5NDc0MTswMDsn""";"651dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"135";"07/07/2023 13.13.26";"07/07/2023 13.13.26";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"12";"12";"Success"
"W/""JzIwOzEyNjM3Njk1Mzk1MDU5NzA0NjcwMTswMDsn""";"691dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"136";"07/07/2023 13.13.27";"07/07/2023 13.13.27";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"6";"4";"Success"
"W/""JzIwOzE1MDE3NjA1NzU5NDc3NjMzNjQyMTswMDsn""";"6a1dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"137";"07/07/2023 13.13.28";"07/07/2023 13.13.28";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"15";"12";"Success"
"W/""JzE5OzU3MTg0OTk0MTcyNDAwMjg5MzExOzAwOyc=""";"6b1dc109-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"138";"07/07/2023 13.13.15";"07/07/2023 13.13.28";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"339";"231";"Success"
"W/""JzIwOzExNzA2MDE2MjU2MzI4ODYwNTkzMTswMDsn""";"84d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"139";"07/07/2023 13.13.32";"07/07/2023 13.13.32";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"6";"3";"Success"
"W/""JzE5OzY3MDAzNTkwMTk5MTAwODczNjExOzAwOyc=""";"86d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"140";"07/07/2023 13.13.28";"07/07/2023 13.13.32";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4423";"5";"Success"
"W/""JzE5OzQwNDEyMTQ1MjgwMzQyNzUwODMxOzAwOyc=""";"87d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"141";"07/07/2023 13.13.32";"07/07/2023 13.13.32";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"7";"6";"Success"
"W/""JzE5Ozc3MTYwNDc5MjAyNDA5MDQxMDYxOzAwOyc=""";"88d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"142";"07/07/2023 13.13.14";"07/07/2023 13.13.32";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"287";"211";"Success"
"W/""JzE4OzgxMDUwNzkxNjAwNjM1MDgxODE7MDA7Jw==""";"8bd0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"143";"07/07/2023 13.13.33";"07/07/2023 13.13.33";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"7";"8";"Success"
"W/""JzIwOzE1MzEzNTM1MTQ2NDExOTA2NjU5MTswMDsn""";"8cd0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"144";"07/07/2023 13.13.33";"07/07/2023 13.13.33";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"11";"11";"Success"
"W/""JzE5OzU2MTM2ODQ1ODk4MTE0MjM5OTYxOzAwOyc=""";"96d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"145";"07/07/2023 13.13.38";"07/07/2023 13.13.38";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"10";"9";"Success"
"W/""JzE5OzUxMzUxMjQ2Mzg2Nzk4Mzc5NDMxOzAwOyc=""";"98d0c110-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"146";"07/07/2023 13.13.38";"07/07/2023 13.13.38";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"8";"8";"Success"
"W/""JzIwOzEzNzY0Njk0NTkxNzg0MDAwNTEwMTswMDsn""";"7c69dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"147";"07/07/2023 13.13.24";"07/07/2023 13.13.41";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"384";"282";"Success"
"W/""JzE5OzY1MzIxNzQwMzY0MjcyMTY0MzMxOzAwOyc=""";"8269dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"148";"07/07/2023 13.13.45";"07/07/2023 13.13.45";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"6";"4";"Success"
"W/""JzIwOzEwMDMzMDI2NDU4MzgwMTE3Nzg5MTswMDsn""";"8469dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"149";"07/07/2023 13.13.46";"07/07/2023 13.13.46";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"15";"12";"Success"
"W/""JzIwOzExMzg2NDM0NjAxMDUzOTU1NDQ1MTswMDsn""";"8569dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"150";"07/07/2023 13.13.33";"07/07/2023 13.13.46";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"384";"231";"Success"
"W/""JzE4Ozg1NTM3MTMzMDk4Njc2OTYxMjE7MDA7Jw==""";"8869dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"151";"07/07/2023 13.13.46";"07/07/2023 13.13.46";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"53";"9";"Success"
"W/""JzIwOzE3ODMyOTc1NTk5MjE2MjIwODE4MTswMDsn""";"8969dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"152";"07/07/2023 13.13.42";"07/07/2023 13.13.47";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4400";"5";"Success"
"W/""JzE5OzEzMTc5Njc2MzQ3NTEwNjQxNTQxOzAwOyc=""";"8a69dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"153";"07/07/2023 13.13.47";"07/07/2023 13.13.47";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"24";"11";"Success"
"W/""JzIwOzEyNjg0ODc5NTg3MzM3MTI5NDkwMTswMDsn""";"8d69dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"154";"07/07/2023 13.13.48";"07/07/2023 13.13.48";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"9";"7";"Success"
"W/""JzIwOzE3MDY3ODUyMTE4NTgxNjc2NTU4MTswMDsn""";"8e69dc16-c81c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"155";"07/07/2023 13.13.48";"07/07/2023 13.13.48";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"11";"12";"Success"
"W/""JzE4Ozg1NDYxMTAwMzQyNTMwODc1NjE7MDA7Jw==""";"867d091d-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"156";"07/07/2023 13.13.51";"07/07/2023 13.13.51";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"7";"8";"Success"
"W/""JzE5OzI2NjUxNzMzMzA2OTAxMDIxODgxOzAwOyc=""";"877d091d-c81c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"157";"07/07/2023 13.13.51";"07/07/2023 13.13.51";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"11";"10";"Success"
"W/""JzIwOzE1NDU0NzI3OTczOTAwOTU4MjMwMTswMDsn""";"927d091d-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"158";"07/07/2023 13.13.55";"07/07/2023 13.13.55";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"5";"3";"Success"
"W/""JzIwOzE3ODI2MDE4MzQzNzQyNTY3ODY5MTswMDsn""";"937d091d-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"159";"07/07/2023 13.13.55";"07/07/2023 13.13.55";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"6";"6";"Success"
"W/""JzE5Ozk2OTQyODYyNDM0MjQwMzMyMjIxOzAwOyc=""";"947d091d-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"160";"07/07/2023 13.13.38";"07/07/2023 13.13.56";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"319";"211";"Success"
"W/""JzE5OzQwMjg1NjU3MjA3MzMyMTAwMjMxOzAwOyc=""";"f33a0c23-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"161";"07/07/2023 13.14.01";"07/07/2023 13.14.01";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"6";"9";"Success"
"W/""JzE5OzI1NjgzMDQ3MTI0NzYxNTAyMDUxOzAwOyc=""";"f43a0c23-c81c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"162";"07/07/2023 13.13.57";"07/07/2023 13.14.01";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4492";"5";"Success"
"W/""JzIwOzExMTQ0OTE4NTI0MzY1OTA0OTgzMTswMDsn""";"f53a0c23-c81c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"163";"07/07/2023 13.14.01";"07/07/2023 13.14.01";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"8";"8";"Success"
